"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","2616-CCS-024270"
"2128013","2617-CCS-024270"
"2128013","2618-CCS-024270"
"2128013","2619-CCS-024270"
"2128013","2620-CCS-024270"
"2128013","2621-CCS-024270"
"2128013","2626-CCS-024270"
"2128013","2627-CCS-024270"
"2128013","2630-CCS-024270"
"2128013","2635-CCS-024270"
"2128013","2636-CCS-024270"
"2128013","2638-CCS-024270"
"2128013","2641-CCS-024270"
"2128013","2642-CCS-024270"
"2128013","2643-CCS-024270"
"2128013","2647-CCS-024270"
"2128013","2648-CCS-024270"
"2128013","2649-CCS-024270"
"2128013","2650-CCS-024270"
"2128013","2652-CCS-024270"
"2128013","2654-CCS-024270"
"2128013","2655-CCS-024270"
"2128013","2660-CCS-024270"
"2128013","2662-CCS-024270"
"2128013","2664-CCS-024270"
"2128013","2665-CCS-024270"
"2128013","2666-CCS-024270"
"2128013","2667-CCS-024270"
"2128013","2668-CCS-024270"
"2128013","2670-CCS-024270"
"2128013","2671-CCS-024270"
"2128013","2673-CCS-024270"
"2128013","2674-CCS-024270"
"2128013","2676-CCS-024270"
"2128013","2678-CCS-024270"
"2128013","2679-CCS-024270"
"2128013","2686-CCS-024270"
"2128013","2687-CCS-024270"
"2128013","2688-CCS-024270"
"2128013","2689-CCS-024270"
"2128013","2690-CCS-024270"
"2128013","2691-CCS-024270"
"2128013","2692-CCS-024270"
"2128013","2693-CCS-024270"
"2128013","2694-CCS-024270"
"2128013","2695-CCS-024270"
"2128013","2697-CCS-024270"
"2128013","2698-CCS-024270"
"2128013","2710-CCS-024270"
"2128013","2711-CCS-024270"
"2128013","2712-CCS-024270"
"2128013","2718-CCS-024270"
"2128013","2730-CCS-024270"
"2128013","2734-CCS-024270"
"2128013","2735-CCS-024270"
"2128013","2736-CCS-024270"
"2128013","2739-CCS-024270"
"2128013","2745-CCS-024270"
"2128013","2752-CCS-024270"
"2128013","2759-CCS-024270"
"2128013","2761-CCS-024270"
"2128013","2762-CCS-024270"
"2128013","2763-CCS-024270"
"2128013","2764-CCS-024270"
"2128013","2765-CCS-024270"
"2128013","2766-CCS-024270"
"2128013","2767-CCS-024270"
"2128013","2768-CCS-024270"
"2128013","2769-CCS-024270"
"2128013","2770-CCS-024270"
"2128013","2771-CCS-024270"
"2128013","2782-CCS-024270"
"2128013","2783-CCS-024270"
